,Precision,Recall,F1,Support
0,0.9948979616165161,1.0,0.9974424839019775,390
1,1.0,1.0,1.0,150
2,1.0,1.0,1.0,90
3,1.0,0.8583333492279053,0.9237668514251709,120
4,1.0,1.0,1.0,150
5,1.0,1.0,1.0,60
6,1.0,1.0,1.0,90
7,0.9278350472450256,1.0,0.9625668525695801,90
8,0.9836065769195557,1.0,0.9917355179786682,60
9,1.0,1.0,1.0,60
10,0.9677419066429138,1.0,0.9836065173149109,90
11,1.0,0.9733333587646484,0.9864864945411682,150
12,1.0,0.9794871807098389,0.9896373152732849,390
13,1.0,0.9833333492279053,0.9915966391563416,60
14,0.9917355179786682,1.0,0.9958506226539612,120
15,1.0,1.0,1.0,90
16,1.0,1.0,1.0,690
17,1.0,1.0,1.0,360
18,1.0,1.0,1.0,480
19,0.998487114906311,1.0,0.9992429614067078,660
20,1.0,0.9952380657196045,0.9976133704185486,210
21,0.9836065769195557,1.0,0.9917355179786682,60
22,0.9985527992248535,1.0,0.9992758631706238,690
23,0.9976246953010559,1.0,0.9988109469413757,420
24,1.0,1.0,1.0,90
25,0.965656578540802,0.9958333373069763,0.9805128574371338,480
26,1.0,0.9444444179534912,0.9714285731315613,90
27,0.9868420958518982,1.0,0.9933774471282959,150
28,0.9977827072143555,1.0,0.9988901019096375,450
29,1.0,0.9844444394111633,0.9921612739562988,450
30,0.9836065769195557,1.0,0.9917355179786682,60
31,0.9986130595207214,1.0,0.9993060231208801,720
32,1.0,0.9973333477973938,0.998664915561676,750
33,1.0,0.9866666793823242,0.9932885766029358,450
34,1.0,0.9954545497894287,0.9977220892906189,660
35,0.97826087474823,1.0,0.9890109896659851,630
36,1.0,1.0,1.0,270
37,0.9888268113136292,0.9833333492279053,0.9860724210739136,180
38,1.0,1.0,1.0,120
39,0.9905660152435303,1.0,0.9952606558799744,210
40,1.0,1.0,1.0,150
41,1.0,1.0,1.0,270
42,0.9972260594367981,0.9986110925674438,0.9979180693626404,720
