,Precision,Recall,F1,Support
0,0.9948979616165161,1.0,0.9974424839019775,390
1,0.9677419066429138,1.0,0.9836065173149109,150
2,1.0,1.0,1.0,90
3,1.0,0.925000011920929,0.9610390067100525,120
4,1.0,1.0,1.0,150
5,1.0,1.0,1.0,60
6,0.9890109896659851,1.0,0.9944751262664795,90
7,0.957446813583374,1.0,0.97826087474823,90
8,0.9836065769195557,1.0,0.9917355179786682,60
9,1.0,1.0,1.0,60
10,0.9890109896659851,1.0,0.9944751262664795,90
11,1.0,0.9866666793823242,0.9932885766029358,150
12,1.0,0.9846153855323792,0.9922481179237366,390
13,1.0,0.9833333492279053,0.9915966391563416,60
14,0.9917355179786682,1.0,0.9958506226539612,120
15,1.0,1.0,1.0,90
16,1.0,1.0,1.0,690
17,1.0,1.0,1.0,360
18,1.0,1.0,1.0,480
19,1.0,1.0,1.0,660
20,1.0,0.9904761910438538,0.9952153563499451,210
21,0.9836065769195557,1.0,0.9917355179786682,60
22,0.9956709742546082,1.0,0.9978307485580444,690
23,0.9952038526535034,0.988095223903656,0.9916368126869202,420
24,1.0,1.0,1.0,90
25,0.977505087852478,0.9958333373069763,0.9865841269493103,480
26,1.0,0.9444444179534912,0.9714285731315613,90
27,1.0,1.0,1.0,150
28,1.0,1.0,1.0,450
29,1.0,0.9688888788223267,0.9841986298561096,450
30,1.0,1.0,1.0,60
31,0.9944751262664795,1.0,0.9972299337387085,720
32,1.0,0.9946666955947876,0.9973261952400208,750
33,0.9910314083099365,0.9822221994400024,0.9866071343421936,450
34,1.0,0.9984848499298096,0.999241828918457,660
35,0.9692307710647583,1.0,0.984375,630
36,1.0,1.0,1.0,270
37,1.0,0.9888888597488403,0.9944133758544922,180
38,1.0,1.0,1.0,120
39,1.0,1.0,1.0,210
40,1.0,1.0,1.0,150
41,1.0,1.0,1.0,270
42,0.9972260594367981,0.9986110925674438,0.9979180693626404,720
