,Precision,Recall,F1,Support
0,0.9974358677864075,0.9974358677864075,0.9974358677864075,390
1,0.9554139971733093,1.0,0.9771986603736877,150
2,1.0,1.0,1.0,90
3,0.9904761910438538,0.8666666746139526,0.9244443774223328,120
4,0.9803921580314636,1.0,0.9900989532470703,150
5,1.0,1.0,1.0,60
6,0.9890109896659851,1.0,0.9944751262664795,90
7,0.9278350472450256,1.0,0.9625668525695801,90
8,0.9836065769195557,1.0,0.9917355179786682,60
9,1.0,1.0,1.0,60
10,0.957446813583374,1.0,0.97826087474823,90
11,1.0,0.9666666388511658,0.9830508232116699,150
12,1.0,0.964102566242218,0.9817232489585876,390
13,1.0,0.9833333492279053,0.9915966391563416,60
14,0.9917355179786682,1.0,0.9958506226539612,120
15,0.9890109896659851,1.0,0.9944751262664795,90
16,0.9985527992248535,1.0,0.9992758631706238,690
17,0.9972144961357117,0.9944444298744202,0.9958275556564331,360
18,1.0,1.0,1.0,480
19,1.0,1.0,1.0,660
20,0.9952152967453003,0.9904761910438538,0.9928401112556458,210
21,0.9836065769195557,1.0,0.9917355179786682,60
22,0.9885386824607849,1.0,0.9942362904548645,690
23,0.9951807260513306,0.9833333492279053,0.9892215728759766,420
24,1.0,1.0,1.0,90
25,0.985567033290863,0.9958333373069763,0.9906736016273499,480
26,1.0,0.8999999761581421,0.9473683834075928,90
27,0.9615384340286255,1.0,0.9803921580314636,150
28,0.9977827072143555,1.0,0.9988901019096375,450
29,1.0,0.9666666388511658,0.9830508232116699,450
30,0.9836065769195557,1.0,0.9917355179786682,60
31,0.998609185218811,0.9972222447395325,0.9979152083396912,720
32,1.0,0.9973333477973938,0.998664915561676,750
33,0.9780219793319702,0.9888888597488403,0.9834253787994385,450
34,0.9969651103019714,0.9954545497894287,0.9962092041969299,660
35,0.9813084006309509,1.0,0.9905660152435303,630
36,1.0,1.0,1.0,270
37,0.9887005686759949,0.9722222089767456,0.9803921580314636,180
38,0.9917355179786682,1.0,0.9958506226539612,120
39,0.9952606558799744,1.0,0.9976246953010559,210
40,1.0,1.0,1.0,150
41,0.97826087474823,1.0,0.9890109896659851,270
42,0.9986110925674438,0.9986110925674438,0.9986110925674438,720
