,Precision,Recall,F1,Support
0,1.0,0.9948717951774597,0.9974292516708374,390
1,0.9615384340286255,1.0,0.9803921580314636,150
2,1.0,0.9888888597488403,0.9944133758544922,90
3,1.0,0.8666666746139526,0.9285714626312256,120
4,0.9933775067329407,1.0,0.9966777563095093,150
5,1.0,1.0,1.0,60
6,0.9890109896659851,1.0,0.9944751262664795,90
7,0.9375,1.0,0.9677419066429138,90
8,1.0,1.0,1.0,60
9,0.9836065769195557,1.0,0.9917355179786682,60
10,0.918367326259613,1.0,0.9574467539787292,90
11,1.0,0.9399999976158142,0.969072163105011,150
12,1.0,0.9769230484962463,0.9883268475532532,390
13,0.9836065769195557,1.0,0.9917355179786682,60
14,0.9916666746139526,0.9916666746139526,0.9916666746139526,120
15,1.0,1.0,1.0,90
16,0.9956709742546082,1.0,0.9978307485580444,690
17,1.0,1.0,1.0,360
18,0.9979209899902344,1.0,0.9989594221115112,480
19,0.9984848499298096,0.9984848499298096,0.9984848499298096,660
20,1.0,0.9904761910438538,0.9952153563499451,210
21,0.9836065769195557,1.0,0.9917355179786682,60
22,0.9985527992248535,1.0,0.9992758631706238,690
23,1.0,0.9857142567634583,0.9928057789802551,420
24,1.0,1.0,1.0,90
25,0.9618473649024963,0.9979166388511658,0.9795501232147217,480
26,1.0,0.9555555582046509,0.9772727489471436,90
27,1.0,1.0,1.0,150
28,1.0,1.0,1.0,450
29,1.0,0.9644444584846497,0.9819005131721497,450
30,1.0,1.0,1.0,60
31,0.9958506226539612,1.0,0.9979210495948792,720
32,1.0,0.9986666440963745,0.9993329048156738,750
33,1.0,0.9866666793823242,0.9932885766029358,450
34,1.0,0.9969696998596191,0.9984825253486633,660
35,0.9676923155784607,0.9984126687049866,0.9828124642372131,630
36,1.0,1.0,1.0,270
37,1.0,0.9944444298744202,0.9972144961357117,180
38,1.0,1.0,1.0,120
39,0.9905660152435303,1.0,0.9952606558799744,210
40,1.0,1.0,1.0,150
41,1.0,1.0,1.0,270
42,0.9958449006080627,0.9986110925674438,0.9972260594367981,720
