,Precision,Recall,F1,Support
0,0.9948979616165161,1.0,0.9974424839019775,390
1,0.9803921580314636,1.0,0.9900989532470703,150
2,1.0,1.0,1.0,90
3,1.0,0.9083333611488342,0.9519650936126709,120
4,1.0,1.0,1.0,150
5,1.0,1.0,1.0,60
6,0.9890109896659851,1.0,0.9944751262664795,90
7,0.9473684430122375,1.0,0.9729729890823364,90
8,1.0,1.0,1.0,60
9,0.9836065769195557,1.0,0.9917355179786682,60
10,0.97826087474823,1.0,0.9890109896659851,90
11,1.0,0.9800000190734863,0.9898989796638489,150
12,1.0,0.9846153855323792,0.9922481179237366,390
13,1.0,0.9833333492279053,0.9915966391563416,60
14,0.9917355179786682,1.0,0.9958506226539612,120
15,1.0,1.0,1.0,90
16,0.9985527992248535,1.0,0.9992758631706238,690
17,1.0,1.0,1.0,360
18,1.0,1.0,1.0,480
19,1.0,1.0,1.0,660
20,1.0,0.9904761910438538,0.9952153563499451,210
21,1.0,1.0,1.0,60
22,0.9985527992248535,1.0,0.9992758631706238,690
23,0.9976076483726501,0.9928571581840515,0.9952267408370972,420
24,1.0,1.0,1.0,90
25,0.9755600690841675,0.9979166388511658,0.9866117238998413,480
26,1.0,0.9666666388511658,0.9830508232116699,90
27,1.0,1.0,1.0,150
28,1.0,1.0,1.0,450
29,1.0,0.95333331823349,0.9761092066764832,450
30,1.0,1.0,1.0,60
31,0.9972299337387085,1.0,0.9986130595207214,720
32,1.0,0.9986666440963745,0.9993329048156738,750
33,1.0,0.9844444394111633,0.9921612739562988,450
34,1.0,0.9984848499298096,0.999241828918457,660
35,0.957446813583374,1.0,0.97826087474823,630
36,1.0,1.0,1.0,270
37,1.0,0.9944444298744202,0.9972144961357117,180
38,1.0,1.0,1.0,120
39,1.0,1.0,1.0,210
40,1.0,1.0,1.0,150
41,1.0,1.0,1.0,270
42,0.9972260594367981,0.9986110925674438,0.9979180693626404,720
