,Precision,Recall,F1,Support
0,0.9948453903198242,0.9897435903549194,0.9922879338264465,390
1,0.9591836929321289,0.9399999976158142,0.9494948983192444,150
2,0.9777777791023254,0.9777777791023254,0.9777777791023254,90
3,1.0,0.9833333492279053,0.9915966391563416,120
4,0.9933775067329407,1.0,0.9966777563095093,150
5,0.9677419066429138,1.0,0.9836065173149109,60
6,0.9890109896659851,1.0,0.9944751262664795,90
7,0.9666666388511658,0.9666666388511658,0.9666666388511658,90
8,0.9354838728904724,0.9666666388511658,0.9508196711540222,60
9,0.7894737124443054,1.0,0.8823529481887817,60
10,0.8965517282485962,0.8666666746139526,0.8813559412956238,90
11,1.0,0.9333333373069763,0.9655172228813171,150
12,0.9920212626457214,0.9564102292060852,0.9738903045654297,390
13,1.0,0.9833333492279053,0.9915966391563416,60
14,0.9831932783126831,0.9750000238418579,0.9790794849395752,120
15,0.9888888597488403,0.9888888597488403,0.9888888597488403,90
16,0.9856938719749451,0.9985507130622864,0.9920806288719177,690
17,1.0,0.9861111044883728,0.9930069446563721,360
18,0.9958506226539612,1.0,0.9979210495948792,480
19,0.9984848499298096,0.9984848499298096,0.9984848499298096,660
20,1.0,0.9857142567634583,0.9928057789802551,210
21,0.9836065769195557,1.0,0.9917355179786682,60
22,0.997063159942627,0.9840579628944397,0.9905178546905518,690
23,0.9811320900917053,0.9904761910438538,0.9857820272445679,420
24,1.0,0.9888888597488403,0.9944133758544922,90
25,0.9979079365730286,0.9937499761581421,0.9958245754241943,480
26,0.8913043737411499,0.9111111164093018,0.9010989665985107,90
27,0.9090909361839294,1.0,0.9523809552192688,150
28,0.9782134890556335,0.9977777600288391,0.9878987669944763,450
29,0.9976905584335327,0.9599999785423279,0.9784824848175049,450
30,1.0,1.0,1.0,60
31,0.9917241334915161,0.9986110925674438,0.9951556921005249,720
32,0.9920212626457214,0.9946666955947876,0.9933422803878784,750
33,0.9977011680603027,0.9644444584846497,0.9807909727096558,450
34,1.0,0.989393949508667,0.99466872215271,660
35,0.9644513130187988,0.9904761910438538,0.9772905707359314,630
36,1.0,1.0,1.0,270
37,0.9836065769195557,1.0,0.9917355179786682,180
38,1.0,1.0,1.0,120
39,1.0,0.9857142567634583,0.9928057789802551,210
40,1.0,1.0,1.0,150
41,0.9962546825408936,0.9851852059364319,0.9906890392303467,270
42,0.9794520735740662,0.9930555820465088,0.9862068891525269,720
