,Precision,Recall,F1,Support
0,0.9948453903198242,0.9897435903549194,0.9922879338264465,390
1,0.9276315569877625,0.9399999976158142,0.9337747693061829,150
2,1.0,0.9333333373069763,0.9655172228813171,90
3,1.0,0.75,0.8571428656578064,120
4,0.9615384340286255,1.0,0.9803921580314636,150
5,1.0,1.0,1.0,60
6,0.9890109896659851,1.0,0.9944751262664795,90
7,0.9278350472450256,1.0,0.9625668525695801,90
8,0.9836065769195557,1.0,0.9917355179786682,60
9,1.0,0.9833333492279053,0.9915966391563416,60
10,0.9890109896659851,1.0,0.9944751262664795,90
11,0.9866666793823242,0.9866666793823242,0.9866666793823242,150
12,1.0,0.9794871807098389,0.9896373152732849,390
13,0.982758641242981,0.949999988079071,0.9661017060279846,60
14,0.9752066135406494,0.9833333492279053,0.9792531132698059,120
15,1.0,1.0,1.0,90
16,0.9985527992248535,1.0,0.9992758631706238,690
17,1.0,1.0,1.0,360
18,0.9979209899902344,1.0,0.9989594221115112,480
19,0.998487114906311,1.0,0.9992429614067078,660
20,1.0,0.9952380657196045,0.9976133704185486,210
21,0.9677419066429138,1.0,0.9836065173149109,60
22,1.0,1.0,1.0,690
23,0.9855072498321533,0.9714285731315613,0.9784172177314758,420
24,1.0,1.0,1.0,90
25,0.923828125,0.9854166507720947,0.9536290168762207,480
26,1.0,0.9555555582046509,0.9772727489471436,90
27,0.9933775067329407,1.0,0.9966777563095093,150
28,1.0,0.9977777600288391,0.9988876581192017,450
29,1.0,0.9733333587646484,0.9864864945411682,450
30,0.9836065769195557,1.0,0.9917355179786682,60
31,0.9903714060783386,1.0,0.9951623678207397,720
32,0.9986594915390015,0.9933333396911621,0.9959893226623535,750
33,1.0,0.9777777791023254,0.9887640476226807,450
34,1.0,0.9954545497894287,0.9977220892906189,660
35,0.9661017060279846,0.9952380657196045,0.9804534912109375,630
36,1.0,1.0,1.0,270
37,0.9944444298744202,0.9944444298744202,0.9944444298744202,180
38,0.9523809552192688,1.0,0.9756097793579102,120
39,0.9952380657196045,0.9952380657196045,0.9952380657196045,210
40,1.0,1.0,1.0,150
41,1.0,1.0,1.0,270
42,0.9986110925674438,0.9986110925674438,0.9986110925674438,720
